landmark,distance,significance
13,0.1406466663777657,1
13,0.0098066624592286,0
13,0.0036589679519705,0
13,0.0033768073807702,0
13,0.0043300333703666,0
13,0.0047545990762263,0
13,0.0024537825983329,0
13,0.0042231686721898,0
13,0.0040498474665977,0
13,0.046669198900571,1
13,0.0143647953513424,1
13,0.014933423177476,1
13,0.0042855406431227,0
13,0.0048584819385498,0
13,0.0075654035542352,0
13,0.0592881157875249,1
13,0.0102888256214866,0
13,0.0018390145201752,0
13,0.0026705402048877,0
13,0.0048097297698127,0
13,0.0888365585137641,1
13,0.0043957204132695,0
13,0.0042580298334881,0
13,0.0026068370704128,0
13,0.0030728620274592,0
13,0.0035642310580285,0
13,0.0027344218112929,0
13,0.1779291197930811,1
13,0.0037486243386003,0
13,0.1277833010312896,1
13,0.0049658545339134,0
13,0.0045351425874377,0
13,0.1810340078064689,1
13,0.0140301057425887,1
13,0.0059295463629993,0
13,0.0041020872129913,0
13,0.0040615911277063,0
13,0.0053270349052653,0
13,0.0043912031590968,0
13,0.0119550818119603,0
13,0.0042085547608318,0
13,0.03096664118419,1
13,0.0039337788093792,0
13,0.0029823683559397,0
13,0.1201269093658769,1
13,0.0046358664758433,0
13,0.0026096068423327,0
13,0.0029914155861874,0
13,0.0044224436337016,0
13,0.0638625060236348,1
13,0.0042003195123067,0
13,0.0033942570567663,0
13,0.0038004335892615,0
13,0.0039359668506526,0
13,0.0034112145873249,0
13,0.0033198486126044,0
13,0.0106328582181181,0
13,0.0154578084438407,1
13,0.005742357223695,0
13,0.029961887738264,1
13,0.0035215200864839,0
13,0.0035085171035555,0
13,0.0043834010427452,0
13,0.0038536542249762,0
13,0.0034665508709542,0
13,0.0031511069215522,0
13,0.0137906663348795,1
13,0.0147172472838002,1
13,0.0072258991291943,0
13,0.1201492522491625,1
13,0.002573590172569,0
13,0.0042881977417596,0
13,0.0037079812217465,0
13,0.0045678355485824,0
13,0.0036337798404088,0
13,0.0025770541401155,0
13,0.0025500267001334,0
13,0.0029754930702603,0
13,0.016756072489807,1
13,0.0040607849060664,0
13,0.0077364072227399,0
13,0.0030488910843908,0
13,0.0090256921384974,0
13,0.0036649296679562,0
13,0.0033600566005151,0
13,0.0078519857703471,0
13,0.0047168808766303,0
13,0.1330637014185319,1
13,0.0032762249039679,0
13,0.0043539938325167,0
13,0.0037626417130031,0
13,0.0038509629163145,0
13,0.0048924809311639,0
13,0.0047308699732516,0
13,0.0261622420198846,1
13,0.0044688824672018,0
13,0.0247899763348886,1
13,0.0046704130691589,0
13,0.0039724497927063,0
13,0.0026923441523188,0
13,0.0023687783516488,0
13,0.0036739161568368,0
13,0.0039697635072314,0
13,0.0046945173970509,0
13,0.0032680901755271,0
13,0.007191268441357,0
13,0.0026409428945695,0
13,0.0026295825372714,0
13,0.002877293929905,0
13,0.0035839294678715,0
13,0.0077418612106473,0
13,0.0153478428150942,1
13,0.1435272075539256,1
13,0.0036643796855269,0
13,0.0029533174576567,0
13,0.1033950022491467,1
13,0.0026539226243747,0
13,0.0024013748538837,0
13,0.0028333214897286,0
13,0.0041903722916452,0
13,0.0033975573760166,0
13,0.0026369481417161,0
13,0.0080053742767465,0
13,0.0035993491841467,0
13,0.0591008584824552,1
13,0.0256278558240206,1
13,0.0042773078710525,0
13,0.0033676412840123,0
13,0.0057273922552012,0
13,0.0117730470205364,0
13,0.0880359463415028,1
13,0.0086106909425379,0
13,0.0029219683198116,0
13,0.0028050865086773,0
13,0.0036616102416739,0
13,0.0031930804253266,0
13,0.0042005788958782,0
13,0.0092912586811837,0
13,0.0042906731240008,0
13,0.0195912059880574,1
13,0.0036478495327031,0
13,0.0023874437906832,0
13,0.0062576808073656,0
13,0.0026970439687075,0
13,0.0036084416057713,0
13,0.0026270493311479,0
13,0.0066094941940222,0
13,0.0067458138020214,0
13,0.0044334261610958,0
13,0.003737401944026,0
13,0.1473281659803435,1
13,0.0043924188367678,0
13,0.0035139978288047,0
13,0.0039980330322184,0
13,0.013899184888067,1
13,0.005745168498118,0
13,0.003678385418785,0
13,0.1266802534949034,1
13,0.0025638871189225,0
13,0.0027428846363843,0
13,0.0024557135611894,0
13,0.0042864554390167,0
